"Approved for Public Release; Distribution Unlimited. Case Number 17-3569. ©2018 The MITRE Corporation. All Rights Reserved
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Windows Command,Linux Command,"Cloud Cli (Google, AWS or Azure)",Cobalt Strike,Metasploit,Covenant,Sliver,Exploit Pack,Other Tools,Description,,,,,,,,,,,,,,,,,,,,,
Initial Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Get the Windows OS version that's running,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Print all of the environment variables,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"Get current user information, SID, domain, groups the user belongs to, security privs of the user",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"Get computer name, username, OS software version, domain information, DNS, logon domain",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"Get information about the domain, network adapters, DNS / WSUS servers",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"Displays detailed configuration information about a computer and its operating system, including operating system configuration, security information, product ID, and hardware properties, such as RAM, disk space, and network cards",,,,,,,,,,,,,,,,,,,,,
Execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Display the ARP table,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Display current TCP/IP network connections (b requires elevated privs so you can see the process that opened the connection),,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Display list of currently running processes and services on the system,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Display the list of local administrator accounts on the workstation ,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Display the list of domain administrator accounts,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"Used to add, delete, and manage the users on the computer. Run this command on the users discovered from the previous two commands to gather more information on targeted users.",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Display the list of domain computers in the domain by showing their computer accounts (COMP_NAME$),,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Display the list of domain controllers in the network,,,,,,,,,,,,,,,,,,,,,
Persistence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Used to get the MAC and IP addresses as well as some descriptive codes for machines (0x1C indicates a domain controller),,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"Used to view network shared resource information, share a new network resource, and remove an old shared network resource from the workstation. Not for remote queries",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Display the list of active SMB sessions on the workstation so you can see which users have active connections.,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Display the list of workstations and network devices on the network. ,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Display the trust relationship between the workstation and the domain - must be elevated to use this!,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Displays all of the currently scheduled tasks to be run on a computer,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Display the active directory login server of the workstation ,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"Dsquery is a Windows utility on servers that facilitates querying the Active Directory of the domain for lots of information about users, groups, and permissions. When constructing dsquery commands, if your domain is ""subdomain.domain.tld"", then your query will include ""dc=subdomain,dc=domain,dc=tld""",,,,,,,,,,,,,,,,,,,,,
Priv Escalation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"If you already have a high integrity administrative process, this technique will get you SYSTEM. This is useful to bypass certain logging.",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"This technique tries a series of exploits to elevate to a SYSTEM level process (these are actual exploits, not trust abuses, so there's always the potential for bluescreening)",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"PowerUp.ps1 is a powershell script from the PowerSploit project on github by PowershellMafia. The Invoke-AllChecks commandlet checks for many common privilege escalation options such as unquoted service paths, writeable service directories, service information manipulation, always install elevated, etc. Each specific kind of escalation technique supplies its own method of abusing it.",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"If you have a medium integrity process, but are an administrator, UACBypass will get you a high integrity process without prompting the user for confirmation.",,,,,,,,,,,,,,,,,,,,,
Defense Evasion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"This steals the access token from another process and uses it to gain access to other services or computers. In Cobalt Strike, this token is only used when accessing remote systems, but in Meterpreter, this token is used for everything until it's dropped via rev2self. You need to be in a high integrity process for this to work.",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Dumps hashes from the SAM Hive file.,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"https://github.com/hassaanaliw/chromepass
This program attempts to collect passwords that Chrome stores.",,,,,,,,,,,,,,,,,,,,,
Cred. Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"Keylogging is extremely useful to get credentials and other information from the victim, but make sure that you are keylogging in a process belonging to the user you want to spy on. Keylogging within a SYSTEM process will not get you the keystrokes of other users on the system. For Cobalt Strike, make sure you specifiy the correct architecture and PID for a process running as the target victim. For Metasploit, make sure you've migrated to a process that is running as the target victim (explore.exe is always good).",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,These modules look for common places where passwords are stored either in plaintext or where the encryption keys are widely published for easy decryption.,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"This technique injects into the LSASS.exe process and scrapes its memory for plaintext passwords of logged on users. You must do this from a high integrity process. 
The Mimikatz project has a lot of different capabilities (https://github.com/gentilkiwi/mimikatz/wiki) such as pass-the-hash, pass-the-ticket, creating silver/golden tickets, dumping credentials, and elevating a process.",,,,,,,,,,,,,,,,,,,,,
Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"Add scheduled task (/s is name/ip of remote system to do this on; /tn is the name of the task; /sc is when to run; /ru is user to runas; /rp is password for that user)
may need to make sure that the schedule service is started and configured to run on boot so that your persistence sticks.
Delete a scheduled task by name:
schtasks [/s HOSTNAME] /delete /tn ""name""",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Modify the registry to point the sethc.exe file to point to cmd.exe,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Remove the real sethc.exe and replace it with a copy of cmd.exe. You can also just move the original sethc.exe to a different file if you don't want to delete it,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Enable RDP via the registry and services,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,Create a backdoor user account that often appears on windows systems and add that user to the local administrators group and the remote desktop users group. This combined with the sticky keys persistence grants an inocuous system level persistence mechanism.,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"If the support_388945a0 account already exists on the system, but is disabled, you can enable it and then add it to the necessary groups.",,,,,,,,,,,,,,,,,,,,,
Lat. Mov. and Execution:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"This technique creates a new service on the remote machine. It's important to note the spaces after the = in these commands! Also, before starting the service, run the following commands to make sure everything is set up properly:
sc \\COMP qc acachsrv
dir \\COMP\ADMIN$\acachsrv.exe",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"This technique creates a new service on the remote machine. It's important to note the spaces after the = in these commands! Also, before starting the service, run the following commands to make sure everything is set up properly:
sc \\COMP qc acachsrv
dir \\COMP\ADMIN$\acachsrv.exe",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
Command and Control,,,,,,,,,,"This technique creates a new service on the remote machine. It's important to note the spaces after the = in these commands! Also, before starting the service, run the following commands to make sure everything is set up properly:
sc \\COMP qc acachsrv
dir \\COMP\ADMIN$\acachsrv.exe",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
Exfiltration and Impact,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
TXXX,,,,,,,,,,"psexec copies over a file to the remote box via SMB, then creates a service (usually a randomly named one) which points to the binary that was just copied over, starts the service, then deletes the service. Depending on the version of psexec, it might also migrate out of the initial process and delete the file that was copied over too. This is very similar to the previously mentioned technique of creating a service remotely, but the operator has much less control over the parameters",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
